>;2277567;2013-04-23 20:37:57.717000;15

<;2277567;2013-04-23 20:38:12.728000;15

>;2174199;2013-04-23 20:38:22.733000;10

>;2277567;2013-04-23 20:51:55.550000;15

<;2277567;2013-04-23 20:52:10.562000;15

>;2174199;2013-04-23 20:52:20.569000;10

>;2277567;2013-04-23 21:02:34.978000;15

<;2277567;2013-04-23 21:02:49.990000;15

>;2174199;2013-04-23 21:02:59.993000;10

>;2277567;2013-04-23 21:17:25.882000;3
>;89327702;2013-04-23 21:18:58.891000;36000
>;2277567;2013-04-23 21:27:22.425000;3
>;2277567;2013-04-23 21:27:30.877000;3
>;2277567;2013-04-23 21:28:16.151000;3
>;99999999999;2013-04-23 21:28:29.154000;7
>;2277567;2013-04-23 21:30:35.648000;3
>;9999999999;2013-04-23 21:30:47.651000;5
>;2277567;2013-04-23 21:33:40.686000;3
>;2277567;2013-04-23 21:34:47.702000;3
>;2277567;2013-05-26 22:26:34.512000;21
<;2277567;2013-05-26 22:26:49.526000;15
>;2174199;2013-05-26 22:27:01.554000;12
>;2277567;2013-05-26 22:29:20.059000;21
<;2277567;2013-05-26 22:29:35.063000;15
>;2174199;2013-05-26 22:29:47.074000;12
>;1;2013-05-26 22:30:27.124000;9
>;2344;2013-05-26 22:30:58.128000;23
>;2277567;2013-05-26 22:38:17.550000;21
<;2277567;2013-05-26 22:38:32.557000;15
>;2174199;2013-05-26 22:38:44.572000;12
>;2277567;2013-05-26 22:44:26.697000;21
<;2277567;2013-05-26 22:44:41.703000;15
>;2174199;2013-05-26 22:44:53.707000;12
>;2277567;2013-05-26 22:48:50.562000;23
<;2277567;2013-05-26 22:49:05.575000;15
>;2174199;2013-05-26 22:49:17.590000;12
>;2;2013-05-26 22:50:07.638000;11
>;2277567;2013-05-26 22:53:25.462000;21
<;2277567;2013-05-26 22:53:40.468000;15
>;2174199;2013-05-26 22:53:52.488000;12
>;123;2013-05-26 23:03:35.112000;7
>;123;2013-05-26 23:11:55.633000;31
>;112;2013-05-26 23:13:49.660000;106
>;124;2013-05-26 23:14:11.666000;7
>;13;2013-05-26 23:17:33.883000;5
>;12321;2013-05-26 23:27:39.864000;12
